gene	CNS.1	CNS.2	CNS.3	ML.DmBG3.c2.122	ML.DmBG3.c2.124	S2.DRSC.14	S2.DRSC.16
FBgn0031081	887	697	731	1	0	9	15
FBgn0052826	0	1	0	0	0	0	0
FBgn0031085	0	7	2	0	0	0	0
FBgn0062565	5	2	4	0	0	4	4
FBgn0031088	0	0	1	0	4	2	1
FBgn0041626	0	0	0	0	1	0	0
FBgn0040784	0	0	0	0	2	5	4
FBgn0031086	0	0	0	0	1	0	1
FBgn0031082	0	0	0	0	0	0	1
FBgn0031080	21	15	14	0	0	441	622
FBgn0052821	0	0	0	0	0	0	0
FBgn0053217	156	83	83	39	107	48	84
FBgn0052350	209	201	184	44	96	11	61
FBgn0024733	68843	52646	61151	15210	29164	22164	28731
FBgn0040372	421	368	359	120	424	237	424
FBgn0000316	1230	797	951	132	356	244	308
FBgn0024989	37	19	29	124	443	3	4
FBgn0040371	9	5	10	0	2	0	0
FBgn0029521	3	2	1	0	1	8	25
FBgn0004034	36	31	35	10	2	99	120
FBgn0000022	1	1	1	0	0	0	0
FBgn0004170	18	13	15	0	1	0	0
FBgn0002561	37	25	27	2	3	0	0
FBgn0000137	198	182	186	0	1	0	0
FBgn0029522	0	0	0	0	0	0	0
FBgn0052817	25	13	18	0	3	0	0
FBgn0029524	170	125	177	1	33	8	12
FBgn0023536	602	440	535	53	115	92	79
FBgn0023534	245	187	214	3	7	1	3
FBgn0023535	83	67	73	96	183	36	48
FBgn0023537	2858	1479	1819	1304	3616	2091	2022
FBgn0029525	1078	690	799	190	438	356	341
FBgn0029523	88	51	57	10	16	4	9
FBgn0010019	9	8	52	0	1	0	1
FBgn0011822	0	0	0	0	0	0	0
FBgn0052816	11	19	11	14	33	2	2
FBgn0040370	138	118	78	5	5	0	4
FBgn0040373	760	541	640	38	181	79	92
FBgn0000108	7513	9054	7043	13	20	19	40
FBgn0025640	1001	697	794	226	332	351	397
FBgn0025635	1036	671	786	86	237	94	114
FBgn0001341	331	223	223	189	542	364	371
FBgn0003575	1083	780	909	311	867	575	604
FBgn0025634	1060	677	886	174	361	180	226
FBgn0025638	8683	5019	7139	564	1673	694	699
FBgn0040383	328	228	223	373	880	369	437
FBgn0040382	1122	612	677	223	765	312	252
FBgn0027343	237	149	185	21	47	2	2
FBgn0025621	1941	1038	1370	425	877	541	525
FBgn0029535	5	0	2	0	0	0	0
FBgn0026874	10	8	11	5	17	18	22
FBgn0025616	5	5	2	1	3	5	9
FBgn0015799	3367	1930	2552	756	1815	759	770
FBgn0025620	13	7	9	0	0	1	0
FBgn0015288	4497	3014	2678	1941	5139	5595	5881
FBgn0029532	2	1	1	0	2	0	1
FBgn0029531	2	5	6	0	0	0	1
FBgn0025639	2049	1195	1381	483	1553	561	762
FBgn0002579	62430	37451	52463	24969	38571	19067	22216
FBgn0026879	4268	3474	4369	307	791	324	298
FBgn0029529	696	478	612	79	226	136	112
FBgn0025633	1209	961	1028	682	1653	522	648
FBgn0040892	3	1	1	0	0	0	0
FBgn0040341	1	1	1	0	0	0	2
FBgn0029539	0	0	0	0	0	0	0
FBgn0040339	1139	776	996	101	313	104	127
FBgn0052815	1549	914	1001	8	7	4	6
FBgn0040340	3495	2150	2905	1135	1817	1047	1026
FBgn0040347	371	158	222	34	99	72	71
FBgn0042146	0	0	0	0	0	1	0
FBgn0029552	0	0	0	0	0	0	0
FBgn0040337	1110	653	919	369	495	239	228
FBgn0040398	31	9	52	3519	6262	6375	6080
FBgn0040365	0	1	0	0	0	0	1
FBgn0040397	185	191	156	226	341	56	100
FBgn0026143	1313	742	1009	176	629	330	327
FBgn0040351	344	182	239	7	20	4	9
FBgn0040338	2	3	3	0	0	0	0
FBgn0040350	1	1	1	0	0	0	0
FBgn0040349	0	2	0	66	51	0	0
FBgn0040348	2203	1056	1705	211	361	91	101
FBgn0040346	1455	809	1133	307	755	337	286
FBgn0040342	28	18	22	10	16	6	10
FBgn0040345	9	4	9	6	1	2	3
FBgn0040343	4	5	3	0	0	0	0
FBgn0052814	3	1	0	0	1	0	1
FBgn0040364	15	7	4	1	1	29	28
FBgn0040362	0	0	0	0	0	0	0
FBgn0040361	0	0	0	0	1	0	2
FBgn0040360	1	1	1	0	0	0	0
FBgn0040359	2	0	1	0	0	0	0
FBgn0040358	1	1	1	0	0	0	5
FBgn0029568	1	2	0	0	1	0	4
FBgn0040357	0	0	1	1	0	0	4
FBgn0040367	109	45	69	2	6	1	11
FBgn0025642	6	12	10	52	91	81	92
FBgn0004650	1	2	1	24	75	33	52
FBgn0024362	1536	855	1176	624	1079	433	535
FBgn0024361	38	26	25	2	8	18	30
FBgn0024364	1241	758	1037	261	609	635	498
FBgn0029573	15	9	8	1	1	12	16
FBgn0024987	700	544	542	442	1344	483	835
FBgn0023169	5471	2570	3781	751	1837	852	937
FBgn0052813	264	162	185	302	603	128	126
FBgn0024985	526	332	382	204	494	473	554
FBgn0027794	3071	1416	2247	778	1359	951	856
FBgn0027795	272	209	208	22	47	38	65
FBgn0024986	1156	780	1012	233	649	294	266
FBgn0000826	49	42	36	29	36	205	188
FBgn0024365	1175	565	851	405	916	1020	1044
FBgn0024360	886	481	647	270	389	238	220
FBgn0024366	13	5	9	48	59	9	19
FBgn0025641	2563	1513	1958	213	493	859	665
FBgn0052811	1	1	0	0	0	0	0
FBgn0028550	126	198	137	404	1005	58	177
FBgn0026876	1143	517	775	314	748	293	291
FBgn0040366	125	104	94	14	56	47	42
FBgn0040363	0	1	0	0	1	0	0
FBgn0040368	1	0	0	0	0	0	0
FBgn0026872	384	276	348	131	190	312	342
FBgn0029580	215	140	186	23	32	19	27
FBgn0025383	9	3	2	9	12	71	73
FBgn0025381	1640	651	1137	1063	1958	5940	6328
FBgn0025394	1127	532	740	356	1119	1030	1377
FBgn0000482	2822	1348	2168	537	1450	1130	1163
FBgn0001189	628	355	442	500	1139	883	968
FBgn0029587	76	129	102	2	3	6	8
FBgn0024897	35	18	16	3	8	19	20
FBgn0025391	104	58	79	4	4	0	0
FBgn0025378	0	1	0	0	0	0	0
FBgn0023130	452	257	387	247	571	299	334
FBgn0023530	403	285	367	443	611	273	296
FBgn0025390	127	59	76	8	15	16	62
FBgn0025393	0	0	0	0	0	0	0
FBgn0003517	128594	86457	116820	19204	48850	95381	100103
FBgn0044508	0	0	0	0	0	0	0
FBgn0025382	561	414	393	257	320	256	256
FBgn0052808	247	204	247	46	47	29	29
FBgn0027791	2388	1401	1831	952	1228	1405	1221
FBgn0027793	600	352	438	26	19	34	31
FBgn0052806	0	0	0	0	0	0	0
FBgn0026873	1399	993	1193	281	666	480	476
FBgn0023513	1368	740	986	205	727	818	768
FBgn0014411	768	502	598	570	1310	1129	1339
FBgn0023514	1743	863	1331	617	1290	973	928
FBgn0029594	974	643	861	202	447	373	381
FBgn0023519	1595	951	1312	315	765	709	579
FBgn0023509	1401	700	1125	493	1766	953	1012
FBgn0023510	289	248	219	548	1293	1057	1517
FBgn0023508	1705	1080	1280	804	1472	1948	1860
FBgn0023522	977	669	749	537	1453	784	814
FBgn0023521	843	452	743	120	212	208	162
FBgn0025627	28	17	15	15	69	16	28
FBgn0025630	1666	1007	1287	359	740	282	327
FBgn0025629	1209	763	997	301	774	723	762
FBgn0025628	2346	1210	1767	2123	5317	5377	4996
FBgn0029596	1	0	0	1	6	1	2
FBgn0025626	1636	1063	1341	509	1521	1566	1512
FBgn0025625	3675	1546	2204	252	285	174	253
FBgn0025631	169	84	77	330	1090	835	969
FBgn0026878	2	0	1	20	77	10	9
FBgn0000667	3562	1873	2597	1405	3641	1214	1571
FBgn0003964	1058	525	712	753	1855	1125	1300
FBgn0023545	2264	1555	1897	379	907	911	1024
FBgn0023520	448	264	371	76	190	166	191
FBgn0023512	1961	1028	1493	1790	2565	1743	1783
FBgn0023511	1830	974	1366	609	1502	1418	1452
FBgn0052801	0	0	0	0	0	0	0
FBgn0023518	1695	851	1148	499	1470	1794	1863
FBgn0026088	1449	948	1373	415	747	500	546
FBgn0026089	999	668	921	381	666	527	519
FBgn0023517	1965	1161	1713	1087	1624	895	851
FBgn0023516	1445	743	1201	373	814	690	661
FBgn0023515	733	627	615	136	605	388	358
FBgn0028969	6556	3467	5385	4119	6060	5208	5484
FBgn0026090	679	477	588	240	720	704	816
FBgn0029590	1	1	2	0	2	3	5
FBgn0025624	778	413	606	308	762	1016	960
FBgn0040395	1593	921	1077	3227	4534	1603	1968
FBgn0000382	731	548	605	705	1391	297	494
FBgn0023507	244	205	174	136	341	1276	1409
FBgn0004654	1063	541	860	3209	4973	2737	2559
FBgn0023540	275	203	224	89	207	123	118
FBgn0025839	1228	671	971	686	1095	548	594
FBgn0011576	0	0	0	0	0	0	0
FBgn0015036	0	0	1	0	3	2	0
FBgn0003116	356	164	262	108	204	172	146
FBgn0040899	814	677	833	228	563	282	259
FBgn0040900	11	5	7	1	2	10	5
FBgn0024984	10	8	10	1	2	41	35
FBgn0023549	117	46	70	111	837	181	226
FBgn0029606	6	5	8	7	10	0	2
FBgn0003048	515	401	500	494	1624	1379	2340
FBgn0000810	136	81	87	82	243	97	177
FBgn0023523	6	11	4	4	8	4	11
FBgn0023527	1472	726	1172	940	1324	714	716
FBgn0040391	3	2	0	2	3	14	19
FBgn0053218	3	5	3	2	3	6	5
FBgn0003079	1245	701	892	318	750	478	511
FBgn0003159	61	44	63	0	3	210	288
FBgn0040389	1227	889	1111	297	585	329	322
FBgn0044047	162	151	184	12	53	286	451
FBgn0040392	113	62	84	3	12	13	16
FBgn0023526	1249	1408	1463	252	1157	82	211
FBgn0023529	2855	1866	2109	2126	4322	3754	4586
FBgn0023528	650	396	553	231	701	353	706
FBgn0027296	371	332	249	138	286	213	214
FBgn0023524	2220	986	1353	14	20	6	12
FBgn0023525	95	89	77	49	41	46	57
FBgn0000377	3532	1934	3010	942	1918	1034	930
FBgn0001330	790	454	556	252	578	434	464
FBgn0004397	1605	631	1096	3049	6749	2988	2909
FBgn0023550	5	3	54	2	6	5	2
FBgn0029603	0	0	0	1	1	3	2
FBgn0023542	1230	629	1057	454	951	998	929
FBgn0023541	0	0	0	0	0	0	0
FBgn0005670	4	2	4	10	3	105	127
FBgn0004655	738	388	501	843	2225	1604	1633
FBgn0013432	217	127	150	335	593	209	278
FBgn0004861	1029	783	845	136	455	252	278
FBgn0004860	473	408	409	103	429	238	294
FBgn0040394	4757	3207	4125	2517	4084	1516	1603
FBgn0040376	357	252	237	3	8	3	5
FBgn0040066	1787	1270	1412	744	1834	982	934
FBgn0001404	1000	1054	1022	472	1824	634	989
FBgn0040336	256	151	198	241	447	506	472
FBgn0040333	53	25	31	84	100	29	38
FBgn0040334	1211	701	1103	592	1249	787	985
FBgn0029629	10054	6344	8840	3847	6112	7499	7222
FBgn0011566	932	651	828	182	414	354	394
FBgn0011606	963	566	694	751	2826	1540	1475
FBgn0040375	799	566	650	153	419	393	315
FBgn0040377	14	21	5	2	1	10	10
FBgn0040388	479	344	368	477	942	1697	2044
FBgn0003714	1307	1013	1310	286	518	287	276
FBgn0001150	31	21	11	7	18	10	11
FBgn0052797	2	1	2	0	0	0	0
FBgn0040385	91	59	58	0	2	0	0
FBgn0003371	789	755	729	2575	5284	701	1512
FBgn0003068	195	114	107	102	83	102	139
FBgn0024993	413	286	353	179	403	152	128
FBgn0024996	2268	1315	1868	941	1487	991	880
FBgn0024997	14	10	14	20	48	382	435
FBgn0024991	791	471	515	298	777	402	435
FBgn0000928	25	10	19	597	1419	670	614
FBgn0000927	3	0	1	87	85	19	27
FBgn0000520	1175	772	1054	1067	1609	697	729
FBgn0024975	494	316	371	133	278	209	251
FBgn0040356	0	0	0	0	1	1	2
FBgn0003996	3	2	7	6	2	29	29
FBgn0040384	590	440	510	227	381	237	306
FBgn0024980	40	31	36	40	119	460	553
FBgn0000376	1023	570	754	361	930	1166	1181
FBgn0024973	3910	2077	3284	2075	2204	1067	1028
FBgn0024998	1317	860	1100	399	904	257	306
FBgn0024995	189	174	110	7	11	3	1
FBgn0024994	1238	642	994	407	948	700	840
FBgn0024992	2104	1216	1538	3093	3123	2102	1922
FBgn0000092	83	50	44	53	41	7	13
FBgn0025838	6	3	12	2	0	3	6
FBgn0011276	410	281	371	5	2	3	6
FBgn0004647	1078	1435	1338	2526	5203	3618	4876
FBgn0040396	2103	1807	2313	404	1023	303	341
FBgn0000479	2277	3678	2675	879	1519	335	622
FBgn0002933	1	1	0	0	0	0	0
FBgn0003374	10	3	0	0	0	0	0
FBgn0029660	1	0	0	3	4	20	19
FBgn0029662	34	34	36	172	151	151	287
FBgn0029661	2	0	2	0	1	18	23
FBgn0029659	0	2	0	3	5	23	33
FBgn0029658	0	2	2	8	4	17	10
FBgn0052493	0	4	1	0	0	0	0
FBgn0029657	9	4	2	2	3	3	7
FBgn0029656	2	8	4	0	4	2	2
FBgn0003086	0	1	3	0	0	0	1
FBgn0010296	1	7	1	0	1	0	0
FBgn0010295	1	1	1	0	0	0	0
FBgn0010294	0	1	0	0	0	0	0
FBgn0040393	0	0	0	0	0	0	0
FBgn0000644	84	64	75	6	18	1	1
FBgn0028746	246	249	241	39	83	71	96
FBgn0040355	2	1	0	2	2	1	2
FBgn0052793	1	1	1	3	1	0	0
FBgn0029642	0	0	0	0	0	0	0
FBgn0025645	0	0	0	0	0	0	0
FBgn0029643	1	0	0	0	0	1	3
FBgn0029644	3	3	1	0	4	0	0
FBgn0029645	0	0	0	0	0	1	0
FBgn0029646	0	0	0	0	1	0	0
FBgn0029647	0	0	0	0	0	0	0
FBgn0029648	372	224	335	327	612	38	63
FBgn0028369	434	611	525	2945	7706	8	25
FBgn0029649	0	0	0	0	0	0	0
FBgn0003285	245	200	187	1383	5217	3	10
FBgn0025644	2	0	3	1	1	0	0
FBgn0029639	0	0	0	0	1	1	1
FBgn0040354	0	0	0	0	1	0	0
FBgn0040353	12	3	13	2	2	0	0
FBgn0040352	0	1	1	0	0	0	1
FBgn0029664	1794	1145	1660	1003	999	475	462
FBgn0029666	420	376	314	291	958	129	315
FBgn0029669	0	0	0	0	0	4	4
FBgn0052792	3	2	3	2	3	2	5
FBgn0044046	67	65	38	0	0	0	0
FBgn0023215	680	488	523	1009	2394	94	298
FBgn0015286	590	516	536	260	928	321	519
FBgn0023216	636	377	470	208	481	280	312
FBgn0029672	214	167	171	98	344	323	284
FBgn0052791	152	178	140	21	48	50	77
FBgn0029667	6	5	3	3	1	9	8
FBgn0029665	1064	675	947	243	592	135	125
FBgn0029663	270	402	217	0	1	28	31
FBgn0052785	0	0	0	0	0	0	0
FBgn0025118	0	0	0	0	0	0	0
FBgn0028491	85	34	52	9	15	213	174
FBgn0029681	11	6	9	3	5	1	1
FBgn0029686	188	165	163	63	209	88	91
FBgn0052786	7	16	10	0	0	0	0
FBgn0052783	9	7	10	4	7	1	3
FBgn0029687	2488	3254	2726	1292	3703	827	1583
FBgn0029690	0	0	0	0	0	0	0
FBgn0029689	246	202	221	138	273	372	426
FBgn0029688	1027	986	995	606	1921	2413	2491
FBgn0029685	2065	1028	1423	945	1782	1578	1647
FBgn0019661	7263	6391	4758	6	13	108	254
FBgn0029694	4	3	5	2	2	0	6
FBgn0000221	377	220	304	145	244	292	252
FBgn0026084	5679	4574	5071	5450	11891	421	557
FBgn0026085	383	219	306	124	277	233	212
FBgn0026083	1682	1362	1595	1899	4581	2550	3182
FBgn0066114	549	440	511	152	289	508	659
FBgn0029697	0	0	1	1	3	3	4
FBgn0029701	1	0	0	0	0	1	3
FBgn0029702	1	0	0	2	3	0	2
FBgn0029706	877	414	594	614	1320	657	798
FBgn0029707	5	1	3	98	231	2	1
FBgn0029705	1	0	1	2	5	1	0
FBgn0040907	335	269	315	58	264	85	112
FBgn0002707	887	535	646	270	588	232	228
FBgn0040906	24	33	28	17	20	4	6
FBgn0029703	0	0	1	1	2	1	3
FBgn0040905	0	0	0	0	1	1	2
FBgn0040904	4	1	2	1	2	0	6
FBgn0029700	0	0	0	0	1	0	3
FBgn0052774	0	0	0	1	2	1	9
FBgn0041252	0	0	1	0	0	2	1
FBgn0029696	0	0	0	0	0	0	1
FBgn0000635	2024	2202	2215	673	2435	29	77
FBgn0026080	704	463	580	179	422	294	322
FBgn0026079	2313	1125	1761	1264	1973	1016	928
FBgn0004832	1136	606	1004	387	665	331	311
FBgn0029693	2531	1337	2014	794	1745	649	613
FBgn0000179	800	952	910	5	5	1	2
FBgn0029708	2037	2648	2338	20	14	3	11
FBgn0029709	3877	2327	3413	972	1809	1863	2335
FBgn0029710	926	619	809	192	256	46	46
FBgn0029712	251	119	176	24	26	36	42
FBgn0029714	762	464	648	172	347	297	289
FBgn0029716	0	1	0	0	1	2	2
FBgn0022768	972	810	891	467	1283	1606	1608
FBgn0029715	3933	2414	3666	642	1023	819	980
FBgn0029713	1012	572	763	225	590	564	676
FBgn0029711	713	814	786	251	542	98	131
FBgn0003210	1387	1367	1453	586	1111	1142	1194
FBgn0052773	15	14	19	21	47	0	1
FBgn0011760	3671	3577	3444	784	3080	2027	3577
FBgn0028325	1674	1184	1314	876	2437	2435	2814
FBgn0029722	43	31	36	13	10	20	11
FBgn0029727	0	0	0	0	0	0	0
FBgn0029729	0	0	1	0	1	0	0
FBgn0029730	8	6	4	1	0	0	0
FBgn0029733	5	4	8	9	18	0	1
FBgn0052772	557	656	653	485	1258	269	440
FBgn0029737	2344	1678	2036	615	1379	1347	1663
FBgn0004368	535	399	403	390	884	1191	1450
FBgn0029740	0	1	0	0	1	0	1
FBgn0061196	0	2	0	2	4	24	25
FBgn0029728	1	1	1	2	5	0	0
FBgn0029726	0	0	0	0	0	0	0
FBgn0029725	0	0	2	0	0	0	0
FBgn0025679	0	0	0	0	1	0	0
FBgn0029724	0	0	0	1	0	0	1
FBgn0029745	11	36	14	0	2	0	1
FBgn0029746	0	0	0	0	0	0	0
FBgn0003449	3319	2275	2928	278	675	453	477
FBgn0011761	1	2	1	1	0	1	0
FBgn0029753	0	0	0	0	0	0	0
FBgn0029755	1627	1127	1431	327	759	589	481
FBgn0014024	1503	877	1152	343	1268	1079	1139
FBgn0029754	6	6	3	4	4	5	7
FBgn0029752	1	3	2	1	5	0	1
FBgn0029751	5	5	6	0	4	2	2
FBgn0029750	19	12	12	2	8	4	5
FBgn0029747	5	1	3	0	1	1	2
FBgn0052767	1510	2315	1608	302	930	260	894
FBgn0026751	395	245	277	569	642	768	887
FBgn0010014	2049	1334	1551	1	0	2	2
FBgn0029761	608	649	541	1	5	13	28
FBgn0029763	1460	711	1043	786	1287	878	1104
FBgn0029765	5	3	4	0	2	3	5
FBgn0029766	663	385	532	13570	7416	19964	23285
FBgn0029768	227	226	208	0	3	0	2
FBgn0029770	0	0	0	0	0	0	0
FBgn0029771	315	244	246	193	356	368	439
FBgn0026702	604	330	426	262	428	515	449
FBgn0004687	3808	2264	3303	1569	2967	2721	3809
FBgn0029778	2008	1284	1641	356	764	436	472
FBgn0052762	1	0	1	0	0	0	0
FBgn0029769	0	0	0	5	19	0	0
FBgn0029762	1	1	3	0	2	3	4
FBgn0029756	794	506	679	88	213	206	208
FBgn0028474	2099	1279	1614	546	1440	1315	1416
FBgn0029785	20648	14585	15174	5457	13581	21325	28340
FBgn0003747	1	3	9	0	1	6	0
FBgn0000394	294	183	248	121	256	301	345
FBgn0029791	995	649	687	1122	2345	41	69
FBgn0029795	1	2	4	3	19	10	23
