Sample	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
ML.DmBG3.c2.122-rep1	83.96726493831234	70.47	3548088.0
ML.DmBG3.c2.122-rep2	83.53519285518065	66.55	1815396.0
ML.DmBG3.c2.124-rep1	84.15872019809285	77.43	3175800.0
ML.DmBG3.c2.124-rep2	81.77204510790092	62.28	3481610.0
ML.DmBG3.c2.124-rep3	83.0048251959059	78.55	4738738.0
S2.DRSC.14-rep1	84.47303856590607	87.95	5910652.0
S2.DRSC.14-rep2	83.52651731250275	86.43	4872496.0
S2.DRSC.16-rep1	79.00351669707646	79.18	5432774.0
S2.DRSC.16-rep2	79.98471825003658	78.93	2875561.0
S2.DRSC.16-rep3	77.800532860315	78.24	4572016.0
