Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
ML.DmBG3.c2.122-rep1	8451122	0	0	1055804	0	299142	7096176	3548088	3548088	3548088	3548088	6693405	402771	7096176	0	83.96726493831234	83.96726493831234
ML.DmBG3.c2.122-rep2	4346422	0	0	552954	0	162676	3630792	1815396	1815396	1815396	1815396	3428803	201989	3630792	0	83.53519285518065	83.53519285518065
ML.DmBG3.c2.124-rep1	7547168	0	0	944754	0	250814	6351600	3175800	3175800	3175800	3175800	5993473	358127	6351600	0	84.15872019809285	84.15872019809285
ML.DmBG3.c2.124-rep2	8515404	0	0	1226952	0	325232	6963220	3481610	3481610	3481610	3481610	6598882	364338	6963220	0	81.77204510790092	81.77204510790092
ML.DmBG3.c2.124-rep3	11417982	0	0	1543052	0	397454	9477476	4738738	4738738	4738738	4738738	8939598	537878	9477476	0	83.0048251959059	83.0048251959059
S2.DRSC.14-rep1	13994174	0	0	1763270	0	409600	11821304	5910652	5910652	5910652	5910652	11095074	726230	11821304	0	84.47303856590607	84.47303856590607
S2.DRSC.14-rep2	11666944	0	0	1564426	0	357526	9744992	4872496	4872496	4872496	4872496	9153352	591640	9744992	0	83.52651731250275	83.52651731250275
S2.DRSC.16-rep1	13753246	0	0	2367248	0	520450	10865548	5432774	5432774	5432774	5432774	10206353	659195	10865548	0	79.00351669707646	79.00351669707646
S2.DRSC.16-rep2	7190276	0	0	1177966	0	261188	5751122	2875561	2875561	2875561	2875561	5404245	346877	5751122	0	79.98471825003658	79.98471825003658
S2.DRSC.16-rep3	11753174	0	0	2142374	0	466768	9144032	4572016	4572016	4572016	4572016	8589315	554717	9144032	0	77.800532860315	77.800532860315
