Module	Section	Sample Name	Source
RSeQC	read_distribution	ML.DmBG3.c2.122-rep2.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep2.readdistribution.txt
RSeQC	read_distribution	ML.DmBG3.c2.124-rep2.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep2.readdistribution.txt
RSeQC	read_distribution	S2.DRSC.16-rep2.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep2.readdistribution.txt
RSeQC	read_distribution	S2.DRSC.16-rep3.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep3.readdistribution.txt
RSeQC	read_distribution	ML.DmBG3.c2.124-rep3.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep3.readdistribution.txt
RSeQC	read_distribution	ML.DmBG3.c2.122-rep1.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep1.readdistribution.txt
RSeQC	read_distribution	ML.DmBG3.c2.124-rep1.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep1.readdistribution.txt
RSeQC	read_distribution	S2.DRSC.16-rep1.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep1.readdistribution.txt
RSeQC	read_distribution	S2.DRSC.14-rep1.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep1.readdistribution.txt
RSeQC	read_distribution	S2.DRSC.14-rep2.readdistribution	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep2.readdistribution.txt
RSeQC	inner_distance	ML.DmBG3.c2.122-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep2.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	ML.DmBG3.c2.124-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep2.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	S2.DRSC.16-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep2.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	S2.DRSC.16-rep3	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep3.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	ML.DmBG3.c2.124-rep3	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep3.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	ML.DmBG3.c2.122-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep1.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	ML.DmBG3.c2.124-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep1.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	S2.DRSC.16-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep1.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	S2.DRSC.14-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep1.inner_distance_freq.inner_distance_freq.txt
RSeQC	inner_distance	S2.DRSC.14-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep2.inner_distance_freq.inner_distance_freq.txt
RSeQC	read_GC	ML.DmBG3.c2.122-rep2.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep2.readgc.GC.xls
RSeQC	read_GC	ML.DmBG3.c2.124-rep2.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep2.readgc.GC.xls
RSeQC	read_GC	S2.DRSC.16-rep2.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep2.readgc.GC.xls
RSeQC	read_GC	S2.DRSC.16-rep3.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep3.readgc.GC.xls
RSeQC	read_GC	ML.DmBG3.c2.124-rep3.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep3.readgc.GC.xls
RSeQC	read_GC	ML.DmBG3.c2.122-rep1.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep1.readgc.GC.xls
RSeQC	read_GC	ML.DmBG3.c2.124-rep1.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep1.readgc.GC.xls
RSeQC	read_GC	S2.DRSC.16-rep1.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep1.readgc.GC.xls
RSeQC	read_GC	S2.DRSC.14-rep1.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep1.readgc.GC.xls
RSeQC	read_GC	S2.DRSC.14-rep2.readgc	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep2.readgc.GC.xls
RSeQC	read_duplication	ML.DmBG3.c2.122-rep2.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep2.readdup.pos.DupRate.xls
RSeQC	read_duplication	ML.DmBG3.c2.124-rep2.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep2.readdup.pos.DupRate.xls
RSeQC	read_duplication	S2.DRSC.16-rep2.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep2.readdup.pos.DupRate.xls
RSeQC	read_duplication	S2.DRSC.16-rep3.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep3.readdup.pos.DupRate.xls
RSeQC	read_duplication	ML.DmBG3.c2.124-rep3.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep3.readdup.pos.DupRate.xls
RSeQC	read_duplication	ML.DmBG3.c2.122-rep1.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep1.readdup.pos.DupRate.xls
RSeQC	read_duplication	ML.DmBG3.c2.124-rep1.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep1.readdup.pos.DupRate.xls
RSeQC	read_duplication	S2.DRSC.16-rep1.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep1.readdup.pos.DupRate.xls
RSeQC	read_duplication	S2.DRSC.14-rep1.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep1.readdup.pos.DupRate.xls
RSeQC	read_duplication	S2.DRSC.14-rep2.readdup	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep2.readdup.pos.DupRate.xls
RSeQC	junction_annotation	ML.DmBG3.c2.124-rep2	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/ML.DmBG3.c2.124-rep2.log
RSeQC	junction_annotation	ML.DmBG3.c2.122-rep2	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/ML.DmBG3.c2.122-rep2.log
RSeQC	junction_annotation	S2.DRSC.16-rep2	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/S2.DRSC.16-rep2.log
RSeQC	junction_annotation	S2.DRSC.16-rep3	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/S2.DRSC.16-rep3.log
RSeQC	junction_annotation	ML.DmBG3.c2.124-rep3	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/ML.DmBG3.c2.124-rep3.log
RSeQC	junction_annotation	ML.DmBG3.c2.122-rep1	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/ML.DmBG3.c2.122-rep1.log
RSeQC	junction_annotation	ML.DmBG3.c2.124-rep1	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/ML.DmBG3.c2.124-rep1.log
RSeQC	junction_annotation	S2.DRSC.16-rep1	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/S2.DRSC.16-rep1.log
RSeQC	junction_annotation	S2.DRSC.14-rep1	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/S2.DRSC.14-rep1.log
RSeQC	junction_annotation	S2.DRSC.14-rep2	/home/rosa/rna-seq-star-deseq2/logs/rseqc/rseqc_junction_annotation/S2.DRSC.14-rep2.log
RSeQC	bam_stat	ML.DmBG3.c2.122-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep2.stats.txt
RSeQC	bam_stat	ML.DmBG3.c2.124-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep2.stats.txt
RSeQC	bam_stat	S2.DRSC.16-rep2	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep2.stats.txt
RSeQC	bam_stat	S2.DRSC.16-rep3	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep3.stats.txt
RSeQC	bam_stat	ML.DmBG3.c2.124-rep3	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep3.stats.txt
RSeQC	bam_stat	ML.DmBG3.c2.122-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.122-rep1.stats.txt
RSeQC	bam_stat	ML.DmBG3.c2.124-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/ML.DmBG3.c2.124-rep1.stats.txt
RSeQC	bam_stat	S2.DRSC.16-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.16-rep1.stats.txt
RSeQC	bam_stat	S2.DRSC.14-rep1	/home/rosa/rna-seq-star-deseq2/qc/rseqc/S2.DRSC.14-rep1.stats.txt
