Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ML.DmBG3.c2.122-rep1	5034989.0	74.0	3548088.0	70.47	73.42	403412.0	398117.0	398762.0	3257.0	191.0	1202.0	0.89	0.0	1.46	0.0	1.2	149571.0	2.97	1032981.0	20.52	0.0	5.56	0.48	0	280162	24187
ML.DmBG3.c2.122-rep2	2727867.0	74.0	1815396.0	66.55	72.99	202324.0	195493.0	199534.0	1601.0	97.0	1092.0	1.54	0.0	1.45	0.0	1.21	81338.0	2.98	477146.0	17.49	0.0	12.31	0.66	0	335974	18013
ML.DmBG3.c2.124-rep1	4101257.0	74.0	3175800.0	77.43	73.21	358665.0	352586.0	354372.0	3006.0	155.0	1132.0	1.18	0.0	1.47	0.0	1.25	125407.0	3.06	387739.0	9.45	0.0	9.62	0.44	0	394278	18033
ML.DmBG3.c2.124-rep2	5590679.0	74.0	3481610.0	62.28	72.24	364993.0	354032.0	359661.0	3278.0	139.0	1915.0	2.6	0.0	1.46	0.0	1.26	162616.0	2.91	558892.0	10.0	0.0	24.58	0.24	0	1374144	13417
ML.DmBG3.c2.124-rep3	6032406.0	74.0	4738738.0	78.55	73.23	538639.0	532906.0	532490.0	4714.0	249.0	1186.0	1.08	0.0	1.47	0.0	1.25	198727.0	3.29	710202.0	11.77	0.0	5.95	0.42	0	359372	25367
S2.DRSC.14-rep1	6720235.0	74.0	5910652.0	87.95	73.43	727448.0	721090.0	720098.0	5515.0	337.0	1498.0	0.91	0.0	1.44	0.0	1.34	204800.0	3.05	167725.0	2.5	0.0	6.42	0.08	0	431679	5379
S2.DRSC.14-rep2	5637289.0	74.0	4872496.0	86.43	73.38	592618.0	587495.0	586504.0	4705.0	248.0	1161.0	1.18	0.0	1.45	0.0	1.34	178763.0	3.17	152055.0	2.7	0.0	7.64	0.06	0	430593	3382
S2.DRSC.16-rep1	6861167.0	74.0	5432774.0	79.18	73.32	660381.0	653619.0	653216.0	5299.0	251.0	1615.0	1.03	0.0	1.38	0.0	1.32	260225.0	3.79	369945.0	5.39	0.0	11.47	0.17	0	786565	11658
S2.DRSC.16-rep2	3643038.0	74.0	2875561.0	78.93	73.33	347439.0	343969.0	343696.0	2806.0	127.0	810.0	1.06	0.0	1.38	0.0	1.32	130594.0	3.58	182350.0	5.01	0.0	11.59	0.89	0	422118	32415
S2.DRSC.16-rep3	5843369.0	74.0	4572016.0	78.24	73.36	555717.0	549746.0	549488.0	4655.0	194.0	1380.0	1.06	0.0	1.37	0.0	1.36	233384.0	3.99	341971.0	5.85	0.0	11.75	0.16	0	686648	9350
