"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"FBgn0011828" 26657.0610787778 8.21722001236096 0.304651947742618 26.9333102377283 8.94849804025402e-160 8.29794223272755e-156
"FBgn0010226" 5939.4121948052 -7.44544033784163 0.31106759812661 -23.8826402643587 4.6403041940215e-126 2.15147703955807e-122
"FBgn0011722" 4534.16561573074 8.46489214146332 0.355947564674558 23.498103473547 4.26496473476559e-122 1.31830059951605e-118
"FBgn0020414" 3876.16070064716 8.56161939317434 0.374661200843626 22.4969236775062 4.44867736090828e-112 1.03131462919256e-108
"FBgn0028369" 2944.01051493751 -8.64637576771121 0.390888965946878 -21.7938147742852 2.65578843782326e-105 4.92542523678702e-102
"FBgn0013763" 11245.2565547269 7.93601335319707 0.367138634088513 21.5534782397171 4.91151651958929e-103 7.59074878102525e-100
"FBgn0052354" 2414.09372102789 -8.68720786958913 0.395984970854658 -21.5079070757112 1.31295972979269e-102 1.73929651062395e-99
"FBgn0014141" 9001.50048811457 5.99580403465851 0.283233309071236 21.1557354053919 2.44349543456435e-99 2.8323166455894e-96
"FBgn0034724" 3387.34644864598 -9.19156910640757 0.436818737501226 -20.6119831912589 2.14270527322024e-94 2.20770066650792e-91
"FBgn0003447" 2699.58338766551 -9.0939141693601 0.447100667529545 -19.8418564742765 1.29584088435541e-87 1.20163325206277e-84
"FBgn0015221" 2182.54035095203 -7.30017759768013 0.380889816859829 -19.0551517630932 5.95436141616555e-81 5.01952667382756e-78
"FBgn0001224" 7596.27127928917 -5.45888030346325 0.291638885114692 -18.7127644127993 3.89630383009016e-78 3.01086878470217e-75
"FBgn0015773" 3043.58070490549 -10.3253239522501 0.515861684582526 -18.6390334198933 1.55016511697864e-77 1.10574470228792e-74
"FBgn0050359" 1046.5830932499 -7.05192666156737 0.378184405481467 -18.4423516509888 6.00708696917782e-76 3.97883696179899e-73
"FBgn0029167" 1683.73834148988 7.52508334569639 0.410364780834478 18.0605891442213 6.51238371958837e-73 4.02595561544953e-70
"FBgn0026144" 1455.39146018758 -8.43742167259915 0.457171657721007 -17.9505016822023 4.75588220764808e-72 2.75633098197004e-69
"FBgn0264490" 2155.99206661578 -6.55813613263748 0.364708001418917 -17.9289981906197 7.00301512291156e-72 3.81993877851523e-69
"FBgn0001230" 2950.07134284143 -5.37991913354248 0.301337794691047 -17.8409878932402 3.39637900383244e-71 1.74970125014101e-68
"FBgn0003285" 1704.89071089086 -9.07344352143352 0.490327164724264 -17.7379004695363 2.13774506462799e-70 1.0433321044366e-67
"FBgn0020415" 3357.11507189469 10.1744195054606 0.529613478151723 17.6903229447952 4.97892576065016e-70 2.30847892892545e-67
"FBgn0037989" 3172.39639135605 9.95037549845133 0.528169542926653 17.5537391106169 5.56899872075671e-69 2.459110720837e-66
"FBgn0001226" 3029.18935163054 -4.87314608935806 0.27945635815212 -17.4305862076048 4.83478179583652e-68 2.03786052694509e-65
"FBgn0029095" 1724.84279105286 8.63973606028844 0.48138514273087 17.1796596601633 3.77117142659293e-66 1.52043794081723e-63
"FBgn0026084" 5153.76985024526 -4.61728064958887 0.275160378818853 -16.7771089379103 3.58888012678995e-63 1.38665355898847e-60
"FBgn0004839" 1007.44474157918 -6.30241479478685 0.377262751802558 -16.6148336999425 5.44255608885857e-62 2.01875290447942e-59
"FBgn0014033" 1657.31489709825 5.20866426004578 0.312993042079466 16.6103811490545 5.86195645592178e-62 2.09068931599087e-59
"FBgn0029791" 1021.66879764886 -5.43809289788972 0.329429536514025 -16.4687205205939 6.15586320635113e-61 2.11419701898126e-58
"FBgn0003890" 1166.52518202992 6.16571789303278 0.376190161757822 16.2871347618222 1.21803559360879e-59 4.0338728784051e-57
"FBgn0025525" 666.367966350562 -5.9624030671978 0.365909534216543 -16.1908967874447 5.84701700645817e-59 1.86963409313402e-56
"FBgn0010313" 917.646969960247 -5.57157631620862 0.345500769813619 -16.0775192291832 3.66774793853133e-58 1.13370088780004e-55
"FBgn0050089" 2318.55880870608 -4.63517016740909 0.291400208021942 -15.8994228265795 6.395122448351e-57 1.91296678914706e-54
"FBgn0053460" 873.807498937703 7.18191994942181 0.441899051277521 15.8695275554383 1.03013369540978e-56 2.98513429922965e-54
"FBgn0023479" 788.639839496791 6.95332161739857 0.429174590322388 15.8564051509606 1.26955905980939e-56 3.56746095806439e-54
"FBgn0035608" 1033.77107097774 7.94589757984829 0.483382426203592 15.7780386114166 4.40670068840319e-56 1.20186280834008e-53
"FBgn0015774" 1290.77263098546 -6.23991995590562 0.394256675284958 -15.7665460400409 5.28627253908801e-56 1.4005601501418e-53
"FBgn0260011" 543.752444276662 -6.26350614544256 0.393938483756227 -15.7270098597736 9.87663354319596e-56 2.54405619016823e-53
"FBgn0262636" 1457.28275845554 -6.83345506238936 0.432979354586738 -15.6917646558866 1.72201124336134e-55 4.31573250261884e-53
"FBgn0039709" 937.246815626994 -8.69894947731363 0.522806830574328 -15.6477670744398 3.44082104796903e-55 8.39650883626758e-53
"FBgn0265185" 799.76619298363 6.83136533592659 0.431939922684495 15.5245724117959 2.3657576193996e-54 5.62504369351089e-52
"FBgn0259715" 771.135915414859 6.35065376798579 0.407279750147216 15.4023309974198 1.57874128700225e-53 3.65991698859296e-51
"FBgn0005771" 552.960120032265 -7.07195942220886 0.451968268172812 -15.2828893494986 9.9432580366117e-53 2.24887394569513e-50
"FBgn0038349" 939.707986533988 7.92957131815323 0.499665133956263 15.1739685707886 5.2598056749545e-52 1.16128995294888e-49
"FBgn0016797" 945.21695802953 -6.57099201408747 0.433964445576178 -15.029973452396 4.67192961392004e-51 1.00750705371815e-48
"FBgn0039073" 1216.24740546981 -4.67301554419439 0.313285026229077 -14.9024269164453 3.17822218796862e-50 6.69810326114387e-48
