ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	strand	CNSvsS2.logFC	CNSvsS2.adjPValue	CNSvsBG3.logFC	CNSvsBG3.adjPValue	BG3vsS2.logFC	BG3vsS2.adjPValue
FBgn0031081	Nep3	X	19961297	19969323	1	5.41876849267312	4.16194413035475e-07	9.31579752176164	4.00254980179743e-07	-3.89702902908852	0.00454380769306799
FBgn0031080	CG12655	X	19958393	19959403	-1	-5.56627619572961	2.12079328039623e-07	6.6675031165909	0.00037664873926619	-12.2337793123205	1.20907198106483e-06
FBgn0053217	CG33217	3L	23126025	23132209	1	0.0997518846984242	0.768269212452921	-0.494618225893449	0.152700330699438	0.594370110591873	0.175618229792676
FBgn0052350	Vps11	3L	23147656	23150499	-1	1.94039158921582	0.004466027215543	0.454283036379803	0.387467639756362	1.48610855283602	0.0467109031508915
FBgn0024733	RpL10	3L	23093190	23095471	-1	0.680649383897251	0.00313408122461801	0.349431951202129	0.0719439807289141	0.331217432695122	0.153954524860939
FBgn0040372	G9a	X	245978	254650	1	-0.338186466635878	0.247438131715904	-0.446790007860515	0.142624976362006	0.108603541224637	0.804171308016171
FBgn0000316	cin	X	255674	258469	1	1.25004974696295	9.88040576160581e-05	0.993497184242757	0.000570593512411125	0.25655256272019	0.30647183040622
FBgn0024989	CG3777	X	279703	350504	1	2.37207285908068	0.000854753702574951	-4.28554076368189	9.0057575133324e-07	6.65761362276257	1.99306605327585e-06
FBgn0004034	y	X	356509	361245	1	-2.25996557144294	0.00156532148032432	1.25922848299289	0.124370469988403	-3.51919405443584	0.00242352082447784
FBgn0004170	sc	X	396060	397497	1	6.55123975746025	0.000711927926144298	3.69553240227313	0.00466300239535817	2.85570735518712	0.290567520805872
FBgn0002561	l(1)sc	X	409721	410817	1	7.49165136711711	9.63914380121086e-05	2.44761099802972	0.00344114262387999	5.04404036908739	0.0210243930039514
FBgn0000137	ase	X	460747	463176	1	10.1825866576168	2.66980702712865e-06	7.32299994981505	7.82741803018403e-06	2.85958670780175	0.290567520805872
FBgn0052817	CG32817	X	479066	480166	1	6.8138162949332	0.000818541993825266	2.53566235622633	0.0144562858352369	4.27815393870687	0.0987040095451814
FBgn0029524	CG3176	X	481862	482768	1	3.38002111372364	0.000457143429040894	2.32036091839264	0.00357303576885889	1.05966019533101	0.255486916671638
FBgn0023536	CG3156	X	487878	490725	1	2.01589286788468	1.86789664867982e-05	1.57476433021483	0.000126263799736959	0.441128537669849	0.174043895688795
FBgn0023534	CG17778	X	494614	496369	1	6.09512637413588	8.04196092012958e-07	4.35506599862429	4.43852835791008e-06	1.74006037551159	0.059937262296111
FBgn0023535	arg	X	509435	528028	1	0.246029857104921	0.401026196194627	-2.00550017548782	4.02128444434831e-05	2.25153003259274	0.000163556482730591
FBgn0023537	CG17896	X	490787	493495	-1	-0.637925439876463	0.0111782928262377	-1.30274756503317	0.000165211027823889	0.664822125156705	0.0288608413409396
FBgn0029525	CG18273	X	482777	487581	-1	0.682599679034571	0.00526520222371836	0.375339986407943	0.0796005824254188	0.307259692626628	0.233600853374322
FBgn0029523	CR18275	X	476857	479309	-1	2.71068797921133	0.000224774863141842	1.19595383635673	0.0181858093399677	1.51473414285461	0.0353731076867409
FBgn0052816	CG32816	X	316576	470726	-1	2.16522246503386	0.0172995792245916	-1.78082111500216	0.00622680495806757	3.94604358003602	0.0013561269732316
FBgn0040370	CG13375	X	283186	294962	-1	5.16072053957607	8.64937807328346e-05	3.35113226452753	0.000797142805396002	1.80958827504854	0.178914964268499
FBgn0040373	CG3038	X	243954	245856	-1	2.32694678528667	4.16564186503188e-05	1.64194259427656	0.000451927016200876	0.685004191010111	0.100476169013554
FBgn0000108	Appl	X	530501	579044	1	7.53262773043023	2.49306099969877e-07	7.84421853200958	4.2597400587672e-07	-0.311590801579346	0.640845706782137
FBgn0025640	CG13369	X	623468	624765	1	0.55552855420609	0.0355834793867054	0.391306595434692	0.125439441221179	0.164221958771398	0.616217431247199
FBgn0025635	CG17829	X	625542	628016	1	2.39819747212747	2.30054543388377e-06	1.33480322569033	0.00011409429447509	1.06339424643714	0.0023848689471944
FBgn0001341	Mybbp1A	X	629773	633633	1	-1.11024480803191	0.000442664666219098	-1.50759580186773	6.90557957550583e-05	0.397350993835827	0.164599739776372
FBgn0003575	su(sable)	X	635890	643760	1	0.0520048766054988	0.787696772609736	-0.359331702561904	0.0761995025191554	0.411336579167403	0.101417226858507
FBgn0025634	CG13367	X	644761	646386	1	1.50909199937277	2.98532651694295e-05	0.611563466204404	0.00898365744774474	0.897528533168362	0.00402290627145874
FBgn0025638	Roc1a	X	647304	648597	1	2.69928689190791	1.48399127168058e-06	1.6238973941163	4.18673753221159e-05	1.07538949779161	0.00219867985954772
FBgn0040383	CG5254	X	750347	758719	1	-1.22824533874422	0.000109685890282234	-2.32798757978694	2.05637926345531e-06	1.09974224104272	0.00139925865539982
FBgn0040382	CG5273	X	759594	761939	1	0.871473248296897	0.00957475628094295	-0.285089583752587	0.311718333969678	1.15656283204948	0.00733958675489839
FBgn0027343	fz3	X	769945	784222	1	5.89358825763568	6.06845461066308e-07	1.40655742200368	0.000707051744323587	4.48703083563201	3.17270211585975e-05
FBgn0025621	CG16989	X	793147	797061	1	0.814010324783328	0.00238852667270839	0.0368235910994733	0.867587627994972	0.777186733683855	0.010946798420093
FBgn0026874	CG13358	X	803424	804921	-1	-1.61906646932101	0.00407065634415413	-1.1847271408855	0.0341654924208796	-0.434339328435511	0.471099052303849
FBgn0015799	Rbf	X	797090	801479	-1	1.15476682376608	0.000152635746037945	-0.0442803376666383	0.824370675297871	1.19904716143272	0.000629373938359074
FBgn0015288	RpL22	X	762560	765130	-1	-1.3625956305505	9.51650276548588e-05	-1.08955070030574	0.000535715941169036	-0.273044930244759	0.329308955945071
FBgn0025639	Hmt4-20	X	648483	656033	-1	0.6175360106529	0.0154450291772069	-0.393530880821106	0.088284365459339	1.01106689147401	0.00403426154068631
FBgn0002579	RpL36	X	628338	629483	-1	0.691950929619233	0.00805046016188865	-0.517187686645979	0.0307002184098983	1.20913861626521	0.0013773538036101
FBgn0026879	CG13364	X	624757	625203	-1	3.10686056497441	8.34539068245999e-07	1.86117557852309	2.1808132905024e-05	1.24568498645133	0.00122592010209327
FBgn0029529	CG13365	X	620717	621215	-1	1.65107024830982	8.27861796626844e-05	0.951224814420334	0.00302373151337757	0.699845433889485	0.0409044577618633
FBgn0025633	CG13366	X	585081	620195	-1	0.288118711640507	0.132656893298018	-1.16718866570639	0.000106426479124774	1.4553073773469	0.000168613333639294
FBgn0040339	MED22	X	928139	928860	1	2.47683208290824	2.80858145489878e-06	1.23456564317789	0.000270253342379252	1.24226643973034	0.00132900983489619
FBgn0052815	CG32815	X	932466	939424	1	7.21195931379828	1.86418733648161e-07	6.11545702974744	5.12023134313213e-07	1.09650228405084	0.149746643200035
FBgn0040340	TRAM	X	935232	937822	1	0.844350586951357	0.00357643585259244	-0.229489016115227	0.318793636927797	1.07383960306658	0.00349562224629633
FBgn0040347	mus81	X	941075	943229	1	1.16027219237105	0.00316542539362855	0.851659705069361	0.018680879144686	0.308612487301687	0.455553679666433
FBgn0040337	CG3021	X	1026791	1028290	1	1.31751431540054	0.000871012891135398	-0.177645604607643	0.524331215633681	1.49515992000818	0.00180547412420087
FBgn0040398	CG14629	X	1051525	1052631	1	-8.28241411131681	2.436807315768e-07	-8.46600085332316	3.76247944325423e-07	0.18358674200635	0.752520836573742
